What,Where,When,How_Much
Syng Sammen Aften.,"Rheumhus, Albjergparken 4, Brøndby Strand","Thur 25 January 2018, 7.30 pm.",(Free admission)
Blå Mandag Jazz Band.,"Jonstruphus, Jonstrupvangvej 159, Værløse","Thur 25 January 2018, 7.30 pm.",
Koncert med Rødovre Concert Band.,"Grundtvigs Kirke, På Bjerget 14B, Copenhagen NV","Thur 25 January 2018, 7.30 pm  - 9.15 pm.",
Halfdanskerne.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 25 January 2018, 7.30 pm  - 10 pm.",(Entrance fee: Gratis adgang for alle)
Frida Asmussen & Rasmus Ehlers Trio.,"Jazzcup, Gothersgade 107, Copenhagen K","Fri 26 January 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"
Fredagskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 26 January 2018, 4.30 pm  - 5.30 pm.",
Alsop & Hahn.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 26 January 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Cphphil Bernstein 100 år.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 26 January 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)
Vesterbro Kammerkor.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 26 January 2018, 7.30 pm.",(Free admission)
Monique Thomas & Burich-l´Etienne New Orleans Ensemble.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Fri 26 January 2018, 8 pm.",(Entrance fee: 120/80)
Route 66 - 60'er musik - Smokie Jam.,"Ellegården, Stavnsholtvej 168, Farum","Fri 26 January 2018, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)
Daniel Caesar.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 26 January 2018, 9 pm.",(Entrance fee: 240 DKK)
Motor Mille & band.,"Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Sat 27 January 2018, 10 am  & 2 pm.",(Entrance fee: 125 - 200 DKK)
"Martin Lutz Group ""In Denmark I was born"" Concert & Release.","Jazzcup, Gothersgade 107, Copenhagen K","Sat 27 January 2018, 2.30 pm.","(Entrance fee: 100,-(80,-))"
Hærens Officersskoles Kammerkoncert - elever på Særligt Intensivt Forløb.,"Frederiksberg Slot, Roskildevej 28, Frederiksberg","Sat 27 January 2018, 4 pm.",(Free admission)
Lis Sørensen.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 27 January 2018, 6.30 pm.","(Entrance fee: 1220,00 DKK)"
Joey Moe - Akustisk - Udsolgt!,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 27 January 2018, 7 pm.","(Entrance fee: 285,00 DKK)"
Mike Andersen med band.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 27 January 2018, 8 pm.",(Entrance fee: 175 DKK)
Allan Olsen solo.,"Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sat 27 January 2018, 8 pm.",
Steppeulven 2018 - De danske musikkritikeres pris.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Sat 27 January 2018, 8 pm.","(Entrance fee: 225,00 DKK)"
William Dion & Band.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Sat 27 January 2018, 8.30 pm.",(Entrance fee: 80 DKK. inkl. gebyr)
Jake Bugg - Solo Acoustic Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 27 January 2018, 9 pm.",(Entrance fee: 270 DKK)
Colter Wall (CA).,"VEGA, Enghavevej 40, Copenhagen V","Sat 27 January 2018, 9 pm.","(Entrance fee: 200,00 DKK)"
Marvelous Mosell.,"Forbrændingen, Vognporten 11, Albertslund","Sat 27 January 2018, 9 pm.",(Entrance fee: 199 DKK + evt. gebyr)
Erik Krøller Andersens CPH Five.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sun 28 January 2018, 12 am.",
James Rasmussen Trio (+søndagsbord).,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Sun 28 January 2018, 2 pm  - 4 pm.",(Entrance fee: 100 DKK.)
Koncert i Solgårdens Café.,"Solgården plejehjem, Virumvej 125, Virum","Sun 28 January 2018, 2.30 pm.",(Free admission)
Din Danske Sang.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 28 January 2018, 3 pm.",
Anne Linnet.,"Galaksen, Bymidten 48, Værløse","Sun 28 January 2018, 3 pm.",(Entrance fee: 365 - 515 DKK)
Ord & Musik i Husumvold Kirke: Grieg-Salon.,"Husumvold Kirke, Gadelandet 25, Brønshøj","Sun 28 January 2018, 4 pm  - 10 pm.",
NOAH - akustisk.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 29 January 2018, 8 pm.",(Entrance fee: 245 - 295 DKK)
Rotting Christ / Carach Angren.,"Pumpehuset, Studiestræde 52, Copenhagen V","Mon 29 January 2018, 8 pm.",(Entrance fee)
The Last Bandoleros (US).,"Amager Bio, Øresundsvej 6, Copenhagen S","Mon 29 January 2018, 8 pm.","(Entrance fee: 170,00 DKK)"
Cults på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Mon 29 January 2018, 8.30 pm.",(Entrance fee: 160 DKK)
Gunnertoft Gospel Singers [Høje Taastrup] DK-turné.,"Høje-Taastrup Kirke, Præstegårdsvej 3, Høje-Taastrup, Taastrup","Wed 31 January 2018, 7.30 pm.","(Entrance fee: Voksen 100 DKK, Ung 50 DKK)"
Orgelkoncert.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 31 January 2018, 7.30 pm.",(Free admission)
Steel Panther - Lower The Bar Tour.,"VEGA, Enghavevej 40, Copenhagen V","Wed 31 January 2018, 8 pm.","(Entrance fee: 320,00 DKK)"
"Jes Holtsø, Tobias Trier og Morten Wittrock.","Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Wed 31 January 2018, 9.30 pm.",(Free admission)
Danmarks mest kendte taburet rykker ind på Beghusets scene sammen med Eddie Skoller.,"Restaurant Beghuset, Strandgade 14, Dragør","Thur 1 February 2018, 6 pm.","(Entrance fee: Kr 415,- inklusiv tapas)"
"ALL SWING & BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 1 February 2018, 7 pm  - 9 pm.",
Kavakos & Dvoraks 7.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 1 February 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Morten (dk).,"VEGA, Enghavevej 40, Copenhagen V","Thur 1 February 2018, 8 pm.","(Entrance fee: 225,00 DKK)"
Ibrahim Electric.,"Templet, Jernbanevej 16, Kongens Lyngby","Thur 1 February 2018, 8 pm.",(Entrance fee)
Månegarm / Cruachan / Ereb Altor.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Thur 1 February 2018, 8.30 pm.",(Entrance fee: 220 DKK)
CPHPHIL 60 minutes of Ane Brun.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Thur 1 February 2018, 9 pm.",(Entrance fee: 270-310 DKK + evt. gebyr)
Miriam Mandipira & Kjeld Lauritsen Trio.,"Jazzcup, Gothersgade 107, Copenhagen K","Fri 2 February 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"
Fredagskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 2 February 2018, 4.30 pm  - 5.30 pm.",
Kavakos & Dvoraks 7.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 2 February 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Gulddreng.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 2 February 2018, 7.30 pm.","(Entrance fee: 395,00 DKK)"
Gulddreng - Guldbillet.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 2 February 2018, 7.31 pm.","(Entrance fee: 630,00 DKK)"
Peach Pit (CA).,"VEGA, Enghavevej 40, Copenhagen V","Fri 2 February 2018, 8 pm.","(Entrance fee: 150,00 DKK)"
The Billy Cross Band.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 2 February 2018, 8 pm.","(Entrance fee: 200,00 DKK)"
Rudersdal Big Band - Vinterjazz 2018.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 2 February 2018, 8 pm.","(Entrance fee: 50 DKK, Dørsalg)"
Hvide Løgne - De største danske hits.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 2 February 2018, 8.30 pm.","(Entrance fee: 180,00 DKK)"
The Colley Koppel Colloquium.,"Prøvehallen, Porcelænstorvet 4, Valby","Fri 2 February 2018, 9 pm.",(Entrance fee: 160 - 195 DKK)
Omar Souleyman (sy).,"VEGA, Enghavevej 40, Copenhagen V","Fri 2 February 2018, 9 pm.",
Per Christian Frost & Band.,"Ellegården, Stavnsholtvej 168, Farum","Fri 2 February 2018, 9 pm.","(Entrance fee: Entre billet 135 DKK, Entre + Jazzmenu 285 DKK)"
Koncert m. Hjalmer.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 2 February 2018, 9 pm.",(Entrance fee: 170 DKK + evt. gebyr)
Dansefest: Bobo Moreno & The Heat Monkeys.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 2 February 2018, 9 pm.",(Entrance fee: 195 DKK. + gebyr - 220 DKK i døren)
The KutiMangoes // Vinterjazz 2018.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 2 February 2018, 9 pm.",(Entrance fee: Forsalg: 90 DKK. (stud. 70 DKK.))
Marvelous Mosell.,"Templet, Jernbanevej 16, Kongens Lyngby","Fri 2 February 2018, 9 pm.","(Entrance fee: 165,00 DKK)"
Orgelmatiné.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 3 February 2018, 12 am.",(Free admission)
Høreforeningen Brøndby Lokalafdeling.årsmøde med underholdning To mand frem.,"Kulturhuset Kilden, Nygårds Plads 31, Brøndby","Sat 3 February 2018, 12 am  to 15.30.",(Entrance fee: 50.00 for ikke medlemmer)
Sinne Eeg.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 3 February 2018, 12.30 am.","(Entrance fee: 490,00 DKK)"
"Jørgensen, Banks, Backhausen.","Jazzcup, Gothersgade 107, Copenhagen K","Sat 3 February 2018, 2.30 pm.","(Entrance fee: 100,-(80,-))"
Tre gange Dreisig med gæst.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Sat 3 February 2018, 3 pm.",(Free admission)
Vand-Disco.,"Frederiksberg Svømmehal, Helgesvej 29, Frederiksberg","Sat 3 February 2018, 7 pm.",(Entrance fee: 70)
Norbert Susemihl´s Joyful Gumbo med gæster fra New Orleans.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Sat 3 February 2018, 8 pm.",(Entrance fee: 120/80)
"Koppel, Møller & Cole: Plugged.","Prøvehallen, Porcelænstorvet 4, Valby","Sat 3 February 2018, 8 pm.",(Entrance fee: 160 - 195 DKK)
DR Big Band præsenterer Palle Mikkelborg - Once Upon a Time.Before.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 3 February 2018, 8 pm.",(Entrance fee: 170 - 420 DKK)
Funk Delicious.,"Kulturhuset Kilden, Nygårds Plads 31, Brøndby","Sat 3 February 2018, 8 pm.",(Entrance fee: Billetter 150 DKK)
Khalid.,"TAP1, Raffinaderivej 10, Copenhagen S","Sat 3 February 2018, 8 pm.",(Entrance fee: 430 DKK)
Bryan Rice.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Sat 3 February 2018, 8 pm.",(Entrance fee: 170 DKK + evt. gebyr)
Lord Huron (us).,"VEGA, Enghavevej 40, Copenhagen V","Sat 3 February 2018, 9 pm.",(Entrance fee: 190 DKK)
CPHPHIL 60 minutes of Nikolaj Nørlund.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Sat 3 February 2018, 9 pm.",(Entrance fee: 270-310 DKK + evt. gebyr)
Shiny Darkly releasekoncert på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Sat 3 February 2018, 9 pm.",(Entrance fee: 105 DKK)
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 4 February 2018, 1 pm.",(Entrance fee: 110 DKK)
Kastelskirkens Søndagskoncerter.,"Kastelskirken, Kastellet 50, Copenhagen Ø","Sun 4 February 2018, 2 pm.",(Free admission)
Søndagsbal med Rødovre Palmehaveorkester.,"Rødovregaard, Kirkesvinget 1, Rødovre","Sun 4 February 2018, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)
Blæserdag på Musikhøjskolen.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Sun 4 February 2018, 2 pm  - 6 pm.",(Free admission)
Duruflés Requiem.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 4 February 2018, 3 pm.",
Jesper Thilo Quintet.,"Sofiekælderen, Overgaden Oven Vandet 32, Copenhagen K","Sun 4 February 2018, 3 pm.","(Entrance fee: 100,-/70,-)"
Koncert med Mazel Klezmer Band.,"Søborg Kirkes sognegård, Frødings Allé 2, Søborg","Sun 4 February 2018, 3 pm  - 4 pm.",
Koncert til Kyndelmisse.,"Grundtvigs Kirke, På Bjerget 14B, Copenhagen NV","Sun 4 February 2018, 5 pm.",(Entrance fee: 60/30)
Palæ Bar Jazz.,"Palæ Bar, Ny Adelgade 5, Copenhagen K","Sun 4 February 2018, 5 pm  - 8 pm.",(Free admission)
Motionless In White.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sun 4 February 2018, 8 pm.","(Entrance fee: 225,00 DKK)"
6lack - Free 6lack Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 4 February 2018, 9 pm.",(Entrance fee: 260 DKK)
"Foredrag: ""Islandsk instrumentalmusik"" v. Benjamin Bøgelund Bech.","Metronomen, Godthåbsvej 33, Frederiksberg","Mon 5 February 2018, 7.30 pm.",(Free admission)
4 prices numbered.,"True Stories, C/o Nordisk Film, Mosedalvej 14, Valby","Tues 6 February 2018, 2 pm.",(Entrance fee: 0 - 420 DKK)
Other Roads.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Tues 6 February 2018, 7.30 pm.",(Entrance fee: 125 DKK)
Winterreise.,"Det Kongelige Bibliotek/Den Sorte Diamant, Søren Kierkegaards Plads 1, Copenhagen K","Tues 6 February 2018, 8 pm.",(Entrance fee: 90 - 165 DKK)
The Soft Moon (us).,"Pumpehuset, Studiestræde 52, Copenhagen V","Tues 6 February 2018, 8 pm.",(Entrance fee: 190 DKK)
Shawn Holt & The Teardrops (US).,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Wed 7 February 2018, 10.25 am.",(Entrance fee: 140 DKK.)
4 prices numbered.,"True Stories, C/o Nordisk Film, Mosedalvej 14, Valby","Wed 7 February 2018, 2 pm.",(Entrance fee: 120 - 420 DKK)
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 7 February 2018, 6 pm.",(Free admission)
Jazz: Tidlige Swingorkestre.,"Bibliografen, Bagsværd Hovedgade 116 P, Bagsværd","Wed 7 February 2018, 7 pm.",
Nikolaj Christensen: Tæt på musikken.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 7 February 2018, 7.30 pm.",(Entrance fee: 125 DKK)
Fathers & Sons: Koppel - Diallo - Nordsø - Agami.,"Prøvehallen, Porcelænstorvet 4, Valby","Wed 7 February 2018, 8 pm.",(Entrance fee: 160 - 195 DKK)
Bernhoft & The Fashion Bruises.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 7 February 2018, 8 pm.",(Entrance fee: 280 DKK)
4 prices numbered.,"True Stories, C/o Nordisk Film, Mosedalvej 14, Valby","Thur 8 February 2018, 2 pm.",(Entrance fee: 120 - 420 DKK)
Citybois.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 8 February 2018, 7 pm.",(Entrance fee: 200 DKK)
Miss May I.,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 8 February 2018, 7 pm.","(Entrance fee: 250,00 DKK)"
Sangaften med fremtidens stjerner på MGK.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Thur 8 February 2018, 7 pm.",(Free admission)
Koncert: Raphaëlis Consort.,"Husum Kirke, Korsager Allé 14, Brønshøj","Thur 8 February 2018, 7 pm  - 10 pm.",
Canellakis & Zimmermann.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 8 February 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
'Bach to Violin'.,"Reformert Kirke, Gothersgade 111, Copenhagen K","Thur 8 February 2018, 7.30 pm.",(Entrance fee: 100 DKK)
"Fastelavn ""Kom frit frem"".","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 8 February 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
Alex Vargas.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Thur 8 February 2018, 8 pm.","(Entrance fee: 290,00 dkk - 395,00 dkk)"
Ole Kock Hansen A Very Big Band Feat. Marie Carmen Koppel & Benjamin Koppel.,"Prøvehallen, Porcelænstorvet 4, Valby","Thur 8 February 2018, 8 pm.",(Entrance fee: 160 - 195 DKK)
Electric Guitars.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Thur 8 February 2018, 8 pm.",(Entrance fee)
Catbird.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Thur 8 February 2018, 8 pm  - 10 pm.",(Entrance fee: 135 DKK.)
SEXTILE på Loppen 8. februar.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Thur 8 February 2018, 8.30 pm.",(Entrance fee: 60 DKK)
4 prices numbered.,"True Stories, C/o Nordisk Film, Mosedalvej 14, Valby","Fri 9 February 2018, 2 pm.",(Entrance fee: 120 - 420 DKK)
"Jesper Thilo ""New Quintet"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 9 February 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"
"ALL SWING & BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Fri 9 February 2018, 4 pm.",
Fredagskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 9 February 2018, 4.30 pm  - 5.30 pm.",
Tæt på Anne Dorte og Maria.,"Restaurant Bellahøj, Bellahøjvej 20, Brønshøj","Fri 9 February 2018, 6 pm.",(Entrance fee)
Koppel Kornucopia.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Fri 9 February 2018, 6 pm  & 9 pm.",(Entrance fee: 315 - 375 DKK)
Burhan g.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Fri 9 February 2018, 7 pm.","(Entrance fee: 1320,00 DKK)"
Dropkick Murphys.,"Valby Hallen, Julius Andersens Vej 3, Copenhagen SV","Fri 9 February 2018, 7 pm.","(Entrance fee: 430,00 DKK)"
Canellakis & Zimmermann.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 9 February 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
OMD - Andy McCluskey and Paul Humphreys.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 9 February 2018, 8 pm.",(Entrance fee: 270 DKK)
Ramslag Folkets Hus Spillefolk.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 9 February 2018, 8 pm.",(Entrance fee: Kr 30)
Skinz (DK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Fri 9 February 2018, 8 pm.",(Entrance fee)
New Kids + Shadow Ray // Vinterjazz 2018.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 9 February 2018, 9 pm.",(Entrance fee: Forsalg: 50 DKK. (stud. 30 DKK.))
Heimat.,"Templet, Jernbanevej 16, Kongens Lyngby","Fri 9 February 2018, 9 pm.","(Entrance fee: 90,00 DKK)"
Nordiske Folketoner.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 9 February 2018, 9 pm.",(Free admission)
Orgelmatiné.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 10 February 2018, 12 am.",(Free admission)
Vinøs Matiné.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 10 February 2018, 2 pm  - 3.30 pm.",
"Snorre Kirk ""Nordic Quintet"".","Jazzcup, Gothersgade 107, Copenhagen K","Sat 10 February 2018, 2.30 pm.","(Entrance fee: 120,-(100,-))"
Cannibal Corpse (US) & Black Dahlia Murder (US).,"VEGA, Enghavevej 40, Copenhagen V","Sat 10 February 2018, 6.30 pm.",(Entrance fee)
Prime Is Coming.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Sat 10 February 2018, 6.30 pm.","(Entrance fee: 100,00 DKK)"
Dr big band feat. Claudio Campagnol.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Sat 10 February 2018, 8 pm.",(Entrance fee: 175 Kr.)
Aura - Can`t Steal The Music Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 10 February 2018, 8 pm.",(Entrance fee: 220 - 270 DKK)
Sko/Torp.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 10 February 2018, 8 pm.","(Entrance fee: 280,00 DKK)"
Marcus & Martinus - Udsolgt/venteliste.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sat 10 February 2018, 8 pm.","(Entrance fee: 400,00 dkk - 650,00 dkk)"
Hjalmer.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 10 February 2018, 9 pm.",(Entrance fee)
Malene Mortensens Supertrio.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sun 11 February 2018, 12 am.",
Kastelskirkens Søndagskoncerter.,"Kastelskirken, Kastellet 50, Copenhagen Ø","Sun 11 February 2018, 2 pm.",(Free admission)
Unge spiller klassisk - intimkoncert.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sun 11 February 2018, 3 pm  - 4 pm.","(Entrance fee: 50,00 DKK i Døren)"
"DR Big Band præsenterer ""Jazz guld"".","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 11 February 2018, 4 pm.",(Entrance fee: 123 - 225 DKK)
Lied-koncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 11 February 2018, 4 pm  - 5 pm.",
Koncert sang orgel.,"Vejleå Kirke, Ishøj Boulevard 1, Ishøj","Sun 11 February 2018, 4 pm  - 5 pm.",
Accept (DE).,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 February 2018, 7.30 pm.","(Entrance fee: 250,00 DKK)"
Verdi Nights.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Sun 11 February 2018, 7.30 pm.","(Entrance fee: 450,00 dkk - 520,00 dkk)"
Kygo.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sun 11 February 2018, 8 pm.","(Entrance fee: 350,00 dkk - 450,00 dkk)"
Ghostpoet.,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 February 2018, 8 pm.",(Entrance fee: 180 DKK)
The Hunna + Coasts.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sun 11 February 2018, 8 pm.",
Fastelavnsjazz.,"Store Magleby Kirke, Kirkevej 2, Dragør","Mon 12 February 2018, 2.30 pm  - 3.40 pm.",
Nils Frahm (de).,"VEGA, Enghavevej 40, Copenhagen V","Mon 12 February 2018, 8 pm.",(Entrance fee: 270 DKK)
Pale Waves (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 13 February 2018, 8 pm.","(Entrance fee: 135,00 DKK)"
Khruangbin (us).,"Pumpehuset, Studiestræde 52, Copenhagen V","Tues 13 February 2018, 8 pm.",
Poul Krebs med band.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 13 February 2018, 8 pm.",(Entrance fee: 315 - 365 DKK)
August Alsina (US).,"VEGA, Enghavevej 40, Copenhagen V","Tues 13 February 2018, 8 pm.","(Entrance fee: 230,00 DKK)"
Open mic for RBU.,"Huset KBH Musikcaféen, Rådhusstræde 13, 3. sal, Copenhagen K","Tues 13 February 2018, 8 pm  - 10.30 pm.",(Entrance fee: 25 DKK)
Debutkoncert - Alexander McKenzie.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 14 February 2018, 7.30 pm.",(Free admission)
Jhené Aiko (US).,"VEGA, Enghavevej 40, Copenhagen V","Wed 14 February 2018, 8 pm.","(Entrance fee: 245,00 DKK)"
KODO - One Earth Tour 2018.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Thur 15 February 2018, 8 pm.",(Entrance fee: 340 - 450 DKK)
Randy Newman - Dark Matter Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 15 February 2018, 8 pm.",(Entrance fee: 470 - 545 DKK)
